method,noise_sigma,noise_trial,task_id,receiver_id,seed,n_injected,n_positive_injected,n_harmful_injected,n_positive_total,method_reward,validation_precision,false_rejection,total_tau_true,total_tau_observed
smtr_tci,0.0,0,65,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,65,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,65,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,68,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,68,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,68,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,69,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,69,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,69,agent1,2,4,4,0,4,4.0,1.0,0.0,4.0,4.0
smtr_tci,0.0,0,70,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,70,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,72,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,72,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,72,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,73,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,73,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,75,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,75,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,75,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,76,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,77,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,77,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,79,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,79,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,8,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,80,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,80,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,80,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,82,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,82,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,84,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,84,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,84,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,85,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,85,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,87,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,87,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,88,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,88,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,89,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,89,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,9,agent1,0,4,4,0,4,4.0,1.0,0.0,4.0,4.0
smtr_tci,0.0,0,9,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,0,9,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,10,agent1,0,3,3,0,3,3.0,1.0,0.0,3.0,3.0
smtr_tci,0.0,1,10,agent1,1,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,1,10,agent1,2,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,1,100,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,100,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,11,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,11,agent1,2,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,1,13,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,16,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,16,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,17,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,17,agent1,1,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,1,19,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,19,agent1,1,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,1,19,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,2,agent1,2,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,1,21,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,21,agent1,2,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,1,22,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,22,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,23,agent1,0,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,1,23,agent1,1,2,2,0,2,2.0,1.0,0.0,2.0,2.0
smtr_tci,0.0,1,23,agent1,2,2,2,0,2,2.0,1.0,0.0,2.0,2.0
smtr_tci,0.0,1,26,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,26,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,26,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,27,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,27,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,27,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,29,agent1,0,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,1,29,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,3,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,3,agent1,1,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,1,30,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,31,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,31,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,32,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,32,agent1,1,2,2,0,2,2.0,1.0,0.0,2.0,2.0
smtr_tci,0.0,1,33,agent1,1,2,2,0,2,2.0,1.0,0.0,2.0,2.0
smtr_tci,0.0,1,33,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,34,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,34,agent1,1,2,2,0,2,2.0,1.0,0.0,2.0,2.0
smtr_tci,0.0,1,34,agent1,2,2,2,0,2,2.0,1.0,0.0,2.0,2.0
smtr_tci,0.0,1,36,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,36,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,36,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,37,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,37,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,37,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,41,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,41,agent1,1,4,4,0,4,4.0,1.0,0.0,4.0,4.0
smtr_tci,0.0,1,41,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,42,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,42,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,42,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,48,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,48,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,51,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,51,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,51,agent1,2,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,1,57,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,57,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,57,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,60,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,60,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,60,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,61,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,61,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,61,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,63,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,63,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,63,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,64,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,64,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,65,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,65,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,65,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,68,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,68,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,68,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,69,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,69,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,69,agent1,2,4,4,0,4,4.0,1.0,0.0,4.0,4.0
smtr_tci,0.0,1,70,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,70,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,72,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,72,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,72,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,73,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,73,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,75,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,75,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,75,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,76,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,77,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,77,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,79,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,79,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,8,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,80,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,80,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,80,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,82,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,82,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,84,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,84,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,84,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,85,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,85,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,87,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,87,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,88,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,88,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,89,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,89,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,9,agent1,0,4,4,0,4,4.0,1.0,0.0,4.0,4.0
smtr_tci,0.0,1,9,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,1,9,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,10,agent1,0,3,3,0,3,3.0,1.0,0.0,3.0,3.0
smtr_tci,0.0,2,10,agent1,1,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,2,10,agent1,2,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,2,100,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,100,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,11,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,11,agent1,2,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,2,13,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,16,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,16,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,17,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,17,agent1,1,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,2,19,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,19,agent1,1,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,2,19,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,2,agent1,2,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,2,21,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,21,agent1,2,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,2,22,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,22,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,23,agent1,0,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,2,23,agent1,1,2,2,0,2,2.0,1.0,0.0,2.0,2.0
smtr_tci,0.0,2,23,agent1,2,2,2,0,2,2.0,1.0,0.0,2.0,2.0
smtr_tci,0.0,2,26,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,26,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,26,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,27,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,27,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,27,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,29,agent1,0,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,2,29,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,3,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,3,agent1,1,1,1,0,1,1.0,1.0,0.0,1.0,1.0
smtr_tci,0.0,2,30,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,31,agent1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,31,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,32,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,32,agent1,1,2,2,0,2,2.0,1.0,0.0,2.0,2.0
smtr_tci,0.0,2,33,agent1,1,2,2,0,2,2.0,1.0,0.0,2.0,2.0
smtr_tci,0.0,2,33,agent1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,34,agent1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,34,agent1,1,2,2,0,2,2.0,1.0,0.0,2.0,2.0
smtr_tci,0.0,2,34,agent1,2,2,2,0,2,2.0,1.0,0.0,2.0,2.0
smtr_tci,0.0,2,36,agent1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,36,agent1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
smtr_tci,0.0,2,36,agent1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
